,Director(s),Star(s),Votes,Gross,Language(s),Country_of_origin,Production_companies,Poster_image,Release_date,Title,Imdb_rating,Duration,Genre,Summary,MPA_rating
1817, Sean Gannet ,"[' Neil Brown Jr.', ' Nicky Whelan', ' Jeremy Sisto', ' Kevin Chapman']", 328,,,['United States'],"['Big Show Pictures', 'McShowoff', 'SFG Productions']",https://m.media-amazon.com/images/M/MV5BZjBiYTY1ZGEtOTZiOC00NjE3LWJhYzItMzBhMzA5NGMyZGYxXkEyXkFqcGdeQXVyNDg2MDIzODU@._V1_.jpg,2021-09-17,Last Night in Rozzie,['5.3'],['80 min'],['Drama'],"['When a New York lawyer returns to his Boston hometown to reunite his dying friend with his young son, he is forced to finally confront a childhood trauma.']",
1818, Ivan Grbovic ,"[' Jorge Antonio Guerrero', ' Hélène Florent', ' Claude Legault', ' Marine Johnson']", 123,,"['Mandarin', 'Spanish', 'French', 'English']",['Canada'],"['micro_scope', 'Pimienta Films']",https://m.media-amazon.com/images/M/MV5BM2I2MjEzMWEtY2YxMi00NDIzLWFiMmEtZjVhYjQxNGNjZGUxXkEyXkFqcGdeQXVyNjcyODk5NzE@._V1_.jpg,2021-10-22,Drunken Birds,['7.1'],['105 min'],['Drama'],"[""Willy's quest to find his long-lost love has brought him from Mexico to Montréal, as a seasonal worker. Destinies intersect, moments of magic realism arise, worlds collide, and tensions swell amidst the long days of physical labor.""]",
1819, Paul Winters ,"[' Sandy Penny', ' Jessica Y. Martin', ' Michelle Nuquay', ' Elizabeth Selby']", 79,,['English'],['United States'],['Green Apple Productions'],https://m.media-amazon.com/images/M/MV5BMTU0ZjVmZjItZTJjNS00NjI5LWI5ZTItMzY2YzE1ZTc2ZmI0XkEyXkFqcGdeQXVyNzk5ODY5Njk@._V1_.jpg,2021-12-03,Badland Doves,['2.1'],['85 min'],"['Action, Western']","[""On the trail to seek justice for murders by a man the entire town is protecting, these girls are out for revenge and they're up to the fight.""]",
1820, Phillip Wiedenheft ,"[' Daniel Britt', ' Jerrica Carr', ' Eric Robert Dickey', ' Patrick Ferguson']",,,['English'],['United States'],,https://m.media-amazon.com/images/M/MV5BNzk2M2EzZWItMTc5My00ZDNmLWEwNjQtYWQ5YzFjYjZjYmJkXkEyXkFqcGdeQXVyMjc2NTEyNTQ@._V1_.jpg,2021-09-01,Straitjacket,,['95 min'],['Drama'],"[""An unstable veteran attempts to flee town after an accidental shooting in the woods. As he attempts to gather resources, he's forced to confront the wreckage of his life and finds that getting out of town will be harder than expected.""]",
1821, Dan Hunter ,"[' Jason London', ' Eric Roberts', ' Anna Marie Dobbins', ' Charlotte Ciano']", 18,,['English'],['United States'],"['Hyperborea Films', 'LaSalle Productions', 'Matthew Luke Tucci Productions']",https://m.media-amazon.com/images/M/MV5BNDVkNTE4ZmUtZjBlOS00MDUxLWI3NWItMDljZjE5Y2ExZWJjXkEyXkFqcGdeQXVyMjIyMjQ1NzY@._V1_.jpg,2021-12-17,Mr. Birthday,['6.3'],['93 min'],['Comedy'],"['While working his maintenance job at an upscale hotel, Barry encounters the mysterious Mr. Jay. He introduces Barry to the International Birthday Network, an agency that helps children across the globe suffering from miserable birthdays.']",
1822, Damian McCann ,"[' Peter Coonan', ' Brid Brennan', ' Clare Monnelly', ' Seán T. Ó Meallaigh']",,,['Irish Gaelic'],"['United Kingdom', 'Ireland']","['Double-Band Films', 'DoubleBand Films']",https://m.media-amazon.com/images/M/MV5BMWMxMzcyNzUtMzg5Zi00OTU2LWI4MzMtNGFjYzRkYmVmZjY5XkEyXkFqcGdeQXVyMTIyNjk5NjQw._V1_.jpg,2022-01-28,Doineann,,['95 min'],"['Drama, Mystery']",,
1823, József Gallai ,"[' András Korcsmáros', ' Kata Kuna', ' Eric Roberts', ' Péter Inoka']", 470,,['English'],"['Hungary', 'United States', 'United Kingdom', 'Norway']","['Hepifilms', 'Elekes Pictures']",https://m.media-amazon.com/images/M/MV5BYzdlMDE4MDUtZTUwMy00MDIyLThjODYtMjhjN2Y0OGY5NzYxXkEyXkFqcGdeQXVyMjMxOTA1NjA@._V1_.jpg,2021-10-19,The Poltergeist Diaries,['4.9'],['76 min'],"['Drama, Horror, Mystery']","['After moving to an isolated cabin, Jacob Taylor vanishes without a trace. With the help of footage he leaves behind, his family members, friends and a detective try to find answers to the strange events that are centered around him.']",['Not Rated']
1824, Frank Cimière ,"["" D'Jal"", ' Sarah Perles', ' Pierre Azéma', ' Farida Ouchani']", 197,,['French'],['France'],"['Moana Films', 'Coupains Production', 'SG Image 2018']",https://m.media-amazon.com/images/M/MV5BYzE5NzhiNDYtYThjYS00YmNhLThlYTQtMjdjY2YxMjEyNzI4XkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_.jpg,2021-11-02,Operation Portugal,['4.1'],['95 min'],['Comedy'],"['Hakim, 35, a friendly neighborhood cop from Morocco, must infiltrate the Portuguese community for the purpose of an investigation. But can one become Portuguese in three days? Especially ... See full summary »']",
1825, Laura Jean Marsh ,"[' Jamal Franklin', ' Laura Jean Marsh', ' Nick Helm', ' Richard Herring']", 135,,['English'],"['United Kingdom', 'United States', 'Canada']",,https://m.media-amazon.com/images/M/MV5BMzg2MzQwOWEtZWE0My00YjA4LTliNTMtOWNkZGE4NzVmMDc1XkEyXkFqcGdeQXVyNjEzNjk1NzI@._V1_.jpg,2021-07-19,Giddy Stratospheres,['4.9'],['67 min'],['Drama'],"[""Loss and Love in the storm of Guitars and Broken Glass that was the mid 00's UK Indie Music Scene""]",
1826, Ugandhar Muni ,"[' Nitin Prasanna', ' Preethi Asrani', ' Snehal Kamath', ' Baby Deevena']"," 1,719",,['Telugu'],['India'],['Avanthika Productions'],https://m.media-amazon.com/images/M/MV5BYTIwMWQxOTAtNDhjNS00YmYzLThkOTgtMTY0NmJhMzI3NDkxXkEyXkFqcGdeQXVyMTUxNTg4Mjk@._V1_.jpg,2021-03-05,A (Ad Infinitum),['8.1'],['153 min'],"['Family, Thriller']",['A person who is unable to recollect his past decides to find the details about him and this leads him to some thrilling truth.'],
1827, Ahishor Solomon ,"[' Nagarjuna Akkineni', ' Dia Mirza', ' Saiyami Kher', ' Atul Kulkarni']"," 2,191",,['Telugu'],['India'],['Matinee Entertainments'],https://m.media-amazon.com/images/M/MV5BZjVmNmE1OTQtN2VjMC00M2YyLWIzNWMtZjllY2IyOGFiYmZjXkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_.jpg,2021-04-02,Wild Dog,['6.3'],['145 min'],"['Action, Adventure, Crime']",['A brash but brilliant Indian intelligence agent leads a covert operation to nab the mastermind behind a series of attacks threatening national security.'],['TV-MA']
1828, Kenny Chhabra ,"[' Anmol Armaan', ' Jaswinder Bhalla', ' Pukhraj Bhalla', ' Binnu Dhillon']", 373,,['Punjabi'],['India'],['Zee Studios'],https://m.media-amazon.com/images/M/MV5BMDVlZGE5MjktZmNkZi00MmViLTgwZDYtMDg1MzJiNzE0NWMyXkEyXkFqcGdeQXVyMTIzMzg0MTM2._V1_.jpg,2021-10-14,Jinne Jamme Saare Nikamme,['7.1'],['132 min'],"['Comedy, Drama']","[""Niranjan Singh and Satwant Kaur live in a village on the outskirts of Mohali, Punjab. They are parents to four sons who don't have any time for them. So they decide to have another child. How will their shocked kids respond?""]",
1829, Karthik Thupurani ,"[' Naveen Chandra', ' Avika Gor', ' Sai Ronak', ' Ali Safdari']", 110,,['Telugu'],['India'],"['JJR entertainments', 'Mango Mass Media', 'Sttv Films']",https://m.media-amazon.com/images/M/MV5BN2ZkMTQ4MGUtNzk2YS00Y2ZmLWJhNTctMzEwZmVhZDkwYzdmXkEyXkFqcGdeQXVyMzAzMzkzNTU@._V1_.jpg,2021-11-26,Bro,['7.4'],['140 min'],['Drama'],['A tale about two siblings who revive their relationship after years of estrangement.'],
1830, William Butler ,"[' Austin Woods', ' Amanda Wyss', ' Michael Paré', ' Amanda Jones']", 220,,['English'],['United States'],"['Candy Bar Productions', 'Full Moon Features']",https://m.media-amazon.com/images/M/MV5BZTBjOTBmOWMtNDNlYS00ODdlLWE3NGMtMWIwNTRmMDAzOWFjXkEyXkFqcGdeQXVyODY5NzkyMjA@._V1_.jpg,2021-02-26,The Resonator: Miskatonic U,['5.0'],['68 min'],['Fantasy'],"['Set in the fictional college campus ""Miskatonic University"" in Arkham, Massachusetts where all sorts of fantastic and unworldly events have been known to unfold in Lovecraft lore, THE ... See full summary »']",['Not Rated']
1831, Cesar Cabral,, 92,,['Portuguese'],['Brazil'],['Cup Filmes'],https://m.media-amazon.com/images/M/MV5BM2NiNGNkMTctYTBjZS00OTYyLTkxMjgtYWY3YTUzZDIzZTE5XkEyXkFqcGdeQXVyMTI3ODA0ODky._V1_.jpg,2021-12-15,Bob Spit: We Do Not Like People,['7.2'],['90 min'],['Animation'],"[""Bob finds himself trapped in a post-apocalyptic desert inhabited by glamorous mutant '80s pop stars out for blood - Bob's blood.""]",
1832, Brian Connors ,"[' Ed Asner', ' Mark Rydell', ' Helen Reddy', ' Marion Ross']", 67,,['English'],['United States'],"['Senior Entourage', 'Safier Entertainment']",https://m.media-amazon.com/images/M/MV5BNWQyMTg1ZDYtYzVkZC00NDRkLWFhMmQtNmY0MjkwZGZkYzIzXkEyXkFqcGdeQXVyMTE3NTc4NjE@._V1_.jpg,2021-05-04,Senior Entourage,['4.1'],['85 min'],['Comedy'],"['Senior Entourage is a wild, wacky ""Mockumentary"" comedy featuring a zany, multi-racial cast ranging in age from 9 to 90. It\'s ""Seinfeld for seniors"" starring Ed Asner, Helen Reddy, Charlie Robinson, Marion Ross and Mark Rydell']",
1833, White Cross ,"[' Tara Reid', ' Michael Paré', ' Quinton Aaron', ' Lou Ferrigno']", 128,,['English'],['United States'],['Cranial Sacral Productions'],https://m.media-amazon.com/images/M/MV5BZWFkN2M4MDMtMTA3ZS00NThiLWI4MzEtZjU2MjVhN2E2OWUxXkEyXkFqcGdeQXVyMTU5OTY2OTg@._V1_.jpg,2021-04-05,Mummy Dearest,['2.5'],['94 min'],"['Horror, Mystery, Thriller']","['After an injury puts SCARLETT HEALY (35) in a wheelchair, she moves in with her daughter, AUTUMN (19), who just moved into a creepy old house with her boyfriend, FRANK THRUSSEL (30). ... See full synopsis »']",
1834, Juno Mak ,"[' Takeshi Kaneshiro', ' Tony Ka Fai Leung', ' Louis Koo', ' Yuanyuan Gao']",,,,['Hong Kong'],"['Kudos Films', 'Shaw Brothers', 'Sil-Metropole Organization']",https://m.media-amazon.com/images/M/MV5BMTk4MjM4NjkyM15BMl5BanBnXkFtZTgwMjk4MjU5NjE@._V1_.jpg,2021-01-01,Sons of the Neon Night,,,['Crime'],"['""A land free of drugs depicts utopia, or so they say - Yet only those who have been there would know the eternal flames that burn in that place called Hell. It was with his creation of ... See full summary »']",
1835, Bouli Lanners ,"[' Michelle Fairley', ' Bouli Lanners', ' Cal MacAninch', ' Clovis Cornillac']", 34,,['English'],"['France', 'Belgium', 'United Kingdom']","['Barry Crerar', 'Playtime', 'Versus Production']",https://m.media-amazon.com/images/M/MV5BNjdlNmExNGItYTg2Ny00NWE0LTliMWUtZTc5YzM4NWI5ZjFiXkEyXkFqcGdeQXVyMTMwNjQxNDU1._V1_.jpg,2022-03-23,Nobody Has to Know,['6.8'],['99 min'],['Drama'],"['Phil, a robust middle-aged man suffers a stroke, causing him to lose his memory. Millie, who takes care of him, tells him falsely that they were secretly in love before his accident.']",
1836,"[' Rock Davis', ' Jay Rodriguez Jr. ']","[' Rob Morgan', ' Walter Fauntleroy', ' Robert G. McKay', ' Tia Dionne Hodge']", 55,,['English'],['United States'],['Michele Baldwin Enterprises'],,2021-04-20,Steps,['7.4'],['118 min'],['Drama'],"['Although God has a way of guiding our STEPS in life in the right direction, in the end, the choice is ours to make. Brian Coleman must take charge of his own destiny, following the steps to love, recovery, redemption and forgiveness.']",
1837, Jin-mo Cho ,"[' Woo-hee Chun', ' Kang Ha-Neul', ' Kang So-ra']", 192,,['Korean'],['South Korea'],['Azim Film'],https://m.media-amazon.com/images/M/MV5BN2M5Mjg0ZjItNDY3MS00MzMzLWFiZGItNWQ3MzYyYTcwMTYxXkEyXkFqcGdeQXVyMTE5NDU1MjAw._V1_.jpg,2021-04-28,Endless Rain,['6.8'],['117 min'],"['Drama, Romance']",['Strangers Young-ho and So-hee confide in each other through the exchange of handwritten letters in the early 2000s.'],
1838, Lorenz Merz ,"[' Art Bllaca', ' Pablo Caprez', ' Lolita Chammah', ' Anastasija Fomina']", 42,,"['Swiss German', 'French', 'Japanese']",['Switzerland'],"['Hesse Film', '8horses', 'Blue']",https://m.media-amazon.com/images/M/MV5BN2M4MzZmNzgtNWZiZi00MGI3LWFhZmEtZjgzNzYzNWU3OWRhXkEyXkFqcGdeQXVyMjI1MDU5OTc@._V1_.jpg,2021-08-06,Soul of a Beast,['6.2'],['110 min'],['Drama'],"['Young father Gabriel takes care alone of his son. When he falls in love with enigmatic Corey, a state of emergency is declared - wild animals are on the run and life becomes utterly existential.']",
1839, Michael Kenneth Fahr ,"[' Michael Kenneth Fahr', ' Christopher Sarlls', ' Christopher Patrino', ' Justine Renee']", 17,,['English'],['United States'],['MKF Productions'],https://m.media-amazon.com/images/M/MV5BYWI5NmIwZGUtY2IyMi00MzAwLWEwMTktYzc1MWRmNmNmNGM0XkEyXkFqcGdeQXVyMTc3ODQxMDI@._V1_.jpg,2021-01-01,Inheritance,['7.2'],['86 min'],"['Horror, Thriller']","['After the murder of their parents,Nick and Steve Wellington are left to share their Inheritance. However, when the masked Figure shows back up to finish what was started, everyone will learn the hard way that blood runs thicker than water.']",
1840, Mark W. Curran ,"[' Madison Spear', ' Brock Morse', ' Skye Roberts', ' Zachary Rist']"," 2,883",,['English'],['United States'],['Nightwatcher Films'],https://m.media-amazon.com/images/M/MV5BM2VhYWFlYmEtMDNjMy00N2Y5LWFiZjAtOGZmNGI2ODExYjQ4XkEyXkFqcGdeQXVyNTIyNzAzMTM@._V1_.jpg,2021-05-01,Hoodman,['6.0'],['98 min'],"['Crime, Horror, Thriller']",['An urban legend haunts a small town as a troubled young woman seeks to find her missing child. A relentless detective pieces together clues that lead them both to a suspected killer.'],
1841, Marcus H. Rosenmüller ,"[' Dimitri Abold', ' Sebastian Bezzel', ' Rick Kavanian', ' Frederic Linkemann']", 68,,['German'],['Germany'],"['ARRI Media', 'Bayerischer Banken-Fonds', 'Leonine Studios']",https://m.media-amazon.com/images/M/MV5BNDM4MzAyNTUtNzYyNC00YWUwLWExMGEtMDhkOTBlYmE5ZWZjXkEyXkFqcGdeQXVyMDU5MDEyMA@@._V1_.jpg,2021-09-09,Beckenrand Sheriff,['6.2'],['113 min'],['Comedy'],['Add a Plot'],
1842, Christophe Honoré ,"[' Claude Mathieu', ' Anne Kessler', ' Éric Génovèse', ' Florence Viala']", 61,,['French'],['France'],"['Les Films Pelléas', 'Comédie-Française', 'Ego Productions']",https://m.media-amazon.com/images/M/MV5BMmMzY2Y1MTgtOTZiOS00ZDY1LWFkZmUtMWM3YjdmNzc2YWI1XkEyXkFqcGdeQXVyMTMwNjQxNDU1._V1_.jpg,2021-09-29,Guermantes,['6.1'],['139 min'],"['Comedy, Drama']",['Add a Plot'],
1843, Luis Fernandez , Carlota Sosa, 23,,['Spanish'],['United States'],['Broadway en Espanol'],https://m.media-amazon.com/images/M/MV5BZWQyNDlmMjMtOGU2ZS00NzBiLTk2NDktNGI0ZGNhN2EwOTQxXkEyXkFqcGdeQXVyMjA1MzYyMDQ@._V1_.jpg,2021-07-27,The Human Voice,['6.5'],['58 min'],['Drama'],"[""She's alone in her huge, empty house. Just a dog. His dog. And the remains of what once was. Her lover of five years has left her. Only few of his things are left behind. His last call may change things.""]",
1844, Bretten Hannam ,"[' Steve Lund', ' Michael Greyeyes', ' Savonna Spracklin', ' Joel Thomas Hynes']", 54,,['English'],['Canada'],"['Rebel Road Films', 'Younger Daughter Films', 'Flimshow']",,2021-11-13,Wildhood,['8.0'],['99 min'],['Drama'],"[""A rebellious two-spirit teenager runs away from home to find his birth mother and reclaim his Mi'kmaw heritage.""]",
1845, Uga Carlini ,"[' Euodia Samson', ' Tshamano Sebe', ' Thapelo Mokoena', ' June van Merch']"," 1,126",,"['English', 'Sotho', 'Xhosa']",['South Africa'],['Towerkop Creations'],https://m.media-amazon.com/images/M/MV5BNjk1Mjk3MzEtMTgxNS00NDEyLTgyN2UtMGFhNjY0NjM4MGMxXkEyXkFqcGdeQXVyMjE5MDI4MTM@._V1_.jpg,2021-10-08,Angeliena,['7.7'],['95 min'],"['Comedy, Drama']","['After a string of life-changing revelations, a beloved parking attendant pieces a new plan together and chases her dream of traveling the world.']",
1846, Karri Balaji ,"[' Shamna Kasim', ' Teja Tripurana']"," 1,601",,['Telugu'],['India'],,https://m.media-amazon.com/images/M/MV5BYzczYzQwZGEtZDg4NC00N2IwLTljYzUtM2JjMTllNzVmYTk3XkEyXkFqcGdeQXVyMTQ1OTUyNzE0._V1_.jpg,2021-12-25,Back Door,['8.4'],['100 min'],['Drama'],['Romantic drama and the dilemma of a married Indian housewife entangled with a young lover.'],
1847, Rupinder Chahal ,"[' Ammy Virk', ' Sonam Bajwa', ' Hardeep Gill', ' Anita Devgan']", 597,,['Punjabi'],['India'],"['A & A Pictures', 'Brat Films']",https://m.media-amazon.com/images/M/MV5BYWY0MGRmM2QtNzhmOS00ODI2LTkyZGUtNDk0OTYxMzZlZGU4XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,2021-08-12,Puaada,['5.7'],['130 min'],"['Comedy, Drama, Musical']",['A farmer and the mesmerizing girl next door find the path to true love anything but smooth.'],
1848, Martell B. Hall ,"["" Gram 'Chino' Otero Livemore"", ' Mia Katz', ' Pete Berwick', ' David Stobbe']",,,['English'],['United States'],['Shytown Films'],https://m.media-amazon.com/images/M/MV5BZGQzODQ0MGUtODIyZi00YmNlLTk3NTUtNmYzYTFhYzBiZTE1XkEyXkFqcGdeQXVyNDc2MDQzMQ@@._V1_.jpg,2021-12-01,Tagged,,,['Comedy'],"['After being implicated in a murder, an old school street artist searches for clues in Chicago murals with the help of an unlikely source.']",
1849, Cris D'Amato ,"[' Eduardo Moscovis', ' Bill Rogers', ' Maisa Silva', ' Thalita Rebouças']"," 1,209",,['Portuguese'],['Brazil'],"['A Fabrica', 'A Fábrica']",https://m.media-amazon.com/images/M/MV5BNjE1OTczNWEtYjNmOS00YjVlLTg1NjgtOTlkZTAwODgyMDBjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-01-15,Double Dad,['5.7'],['103 min'],"['Comedy, Drama, Family']","['While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.']",['TV-G']
1850, Brittany Goodwin ,"[' Brooke Burfitt', ' Micah Lynn Hanson', ' Ben Davies', ' Brittany Goodwin']", 14,,['English'],['United States'],"['Edge of 27', 'Every New Day Pictures']",https://m.media-amazon.com/images/M/MV5BN2M5ODExMmYtZDYyMC00MGM3LWIwZTYtMjY4ODE5N2VlMTNlXkEyXkFqcGdeQXVyNjgzNjAyMjU@._V1_.jpg,2021-12-13,Most Wonderful Time,['6.4'],,"['Comedy, Drama, Family']","['Before her mother sells their family home after the holidays, 30-something struggling author Bria reunites with her three best friends to reminisce and re-create the glory days of their high school years.']",
1851, Nigel Bach ,"[' Nigel Bach', ' Holly Barnes', ' Steve Reynolds']", 19,,['English'],['United States'],['Breaking Glass Pictures'],https://m.media-amazon.com/images/M/MV5BOTAyODA0NjgtZDIwNC00MTIwLTg0OTEtZTRmY2U2NWE1OGM2XkEyXkFqcGdeQXVyMTAzOTA4NjM@._V1_.jpg,2021-10-26,Bad Ben: Benign,['6.9'],['99 min'],['Horror'],['Tom Riley returns home to find an evil force haunting his house again'],['Approved']
1852, Joston Theney ,"[' Nicholas Brendon', ' Jackie Moore', ' Phillip Andre Botello', ' Shoshana Wilder']", 96,,"['English', 'French']",['United States'],['Pia Productions'],https://m.media-amazon.com/images/M/MV5BMDQ2MzI1YWYtMmQwMy00Y2M4LWExMDItMTNmMjg4ZmNiODMwXkEyXkFqcGdeQXVyOTY4NDkwNw@@._V1_.jpg,2021-09-28,Wanton Want,['4.2'],['92 min'],"['Drama, Fantasy, Romance']","['An affectless writer is lured to a couples weekend getaway by his wife and friends, only to uncover a tumultuous secret and a perilous obsession that threaten to change the course of his life in intense and surprising ways.']",
1853, Arantxa Echevarría ,"[' Belén Rueda', ' Jose Coronado', ' Gonzalo de Castro', ' Pepa Aniorte']", 40,,['Spanish'],['Spain'],"['Atresmedia Cine', 'Lazona Producciones', 'The Snake Films']",https://m.media-amazon.com/images/M/MV5BNDYxY2E1ZDctZTU5Zi00ZmJlLTkxNjgtNmFjMTY3MDA3MWVhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,2021-12-03,La familia perfecta,['5.9'],['110 min'],['Comedy'],"[""Lucia's achievement of a perfect family is threatened by her son's loose living, dirty mouthed girlfriend and possible in laws that are not what she pictured for him.""]",
1854,"[' Marco van Bergen', ' Viktor van der Valk', ' Marc Wagenaar', ' Jordi Wijnalda ']","[' Gijs Blom', ' Bas Keizer', ' Matthijs van de Sande Bakhuyzen', ' Tom van Kessel']", 24,,['Dutch'],['Netherlands'],,https://m.media-amazon.com/images/M/MV5BNWY0YzliZWEtYTA0MS00YjZjLTk0NWYtZmRlYjQ4YmJkOGY0XkEyXkFqcGdeQXVyMTE4MzI0NTQ0._V1_.jpg,2021-05-21,The Dutch Boys,['6.7'],['98 min'],['Drama'],"[""A married factory worker confronts his feelings as they bubble to the surface, two boxers fight for more than just keeps, a countryside coming out doesn't quite go to plan, while at the ... See full summary »""]",
1855, Gianluca Jodice ,"[' Sergio Castellitto', ' Francesco Patanè', ' Tommaso Ragno', ' Clotilde Courau']", 415,,['Italian'],"['Italy', 'France']","['Ascent Film', 'Bathysphere Productions', 'Rai Cinema']",https://m.media-amazon.com/images/M/MV5BMGU1M2Y3MzYtMDRhNy00YWQxLWEyNmUtMWU1YWQxMWQ0NThlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_.jpg,2021-05-20,The Bad Poet,['6.3'],['106 min'],"['Biography, Drama, History']","[""1936. Giovanni Comini has just been promoted to Federal, the youngest in Italy. He gets summoned to Rome for a delicate mission: he must survey Gabriele D'Annunzio and make sure that he ... See full summary »""]",
